id	filename	md5	size	state
00d0ed47-aa07-4297-ab73-54346cfaa81d	jhu-usc.edu_HNSC.HumanMethylation450.11.lvl-3.TCGA-CN-A49B-01A-31D-A24I-05.gdc_hg38.txt	61088c40aecf4834363fe0a58346bd7e	141280654	live
06ed5505-c7ed-43a1-960a-45a686b6031a	jhu-usc.edu_HNSC.HumanMethylation450.11.lvl-3.TCGA-HD-A4C1-01A-11D-A24I-05.gdc_hg38.txt	cedbbc725d4801634503e3fcd9125a4a	141268708	live
0ab1c3a0-69aa-4cd9-a3e7-aae9363bae22	jhu-usc.edu_HNSC.HumanMethylation450.6.lvl-3.TCGA-CR-7394-01A-11D-2014-05.gdc_hg38.txt	ce5b877aa0c40b6d6e7c29389508bb23	141273637	live
0cb83207-cf58-44ce-8c62-ef00f3fe7348	jhu-usc.edu_HNSC.HumanMethylation450.18.lvl-3.TCGA-4P-AA8J-01A-11D-A392-05.gdc_hg38.txt	437691919ebd832a363d8e07bd9db9a1	141292413	live
0cdf1c32-a93a-4148-aa6e-e51fe5f9f579	jhu-usc.edu_HNSC.HumanMethylation450.17.lvl-3.TCGA-QK-A6V9-01A-11D-A34K-05.gdc_hg38.txt	516d213a37d33938a99d223daf4b14e7	141276145	live
168bc0c2-ed12-42dc-a854-3677d63c2c61	jhu-usc.edu_HNSC.HumanMethylation450.17.lvl-3.TCGA-CN-A6UY-01A-12D-A34K-05.gdc_hg38.txt	6515c2e6101a6ad9b02c7474d8253603	141291415	live
1a2f7a7f-dfc7-40ca-bee1-e2ce32f94850	jhu-usc.edu_HNSC.HumanMethylation450.16.lvl-3.TCGA-KU-A6H7-06A-21D-A31M-05.gdc_hg38.txt	d199519b7416597c147e30d5856d6193	141293335	live
1a88196a-77e0-4687-b349-f3426544b4bd	jhu-usc.edu_HNSC.HumanMethylation450.1.lvl-3.TCGA-CN-4727-01A-01D-1433-05.gdc_hg38.txt	e7e122bcc9a525a0ee0c3661baa23499	141268685	live
1c823581-eae1-4f55-9649-03b724a4c31b	jhu-usc.edu_HNSC.HumanMethylation450.7.lvl-3.TCGA-DQ-7591-01A-11D-2079-05.gdc_hg38.txt	15b275f9498a14595fad230c1c84001b	141285100	live
1ed229e5-3219-4e7a-a2ff-bbb594e03dbb	jhu-usc.edu_HNSC.HumanMethylation450.16.lvl-3.TCGA-MZ-A6I9-01A-11D-A31M-05.gdc_hg38.txt	075c6104f57e254228d0d87f0ba1f6d6	141274679	live
1eeb6a58-3f0d-4b01-8004-6159d240b094	jhu-usc.edu_HNSC.HumanMethylation450.5.lvl-3.TCGA-CN-6988-01A-11D-1913-05.gdc_hg38.txt	759d90064b4f91b69ba410315311cb76	141278011	live
204285fe-f326-4fee-8924-d7378fd78692	jhu-usc.edu_HNSC.HumanMethylation450.4.lvl-3.TCGA-CR-6477-01A-11D-1871-05.gdc_hg38.txt	835d7b0720bee852539702334ccf0e3b	141274267	live
